,dist_type,layer,R,p-value
0,centroid_cosine,0,0.05375789473684224,0.1463
1,centroid_cosine,1,0.024534210526315683,0.2739
2,centroid_cosine,2,0.021100000000000115,0.3209
3,centroid_cosine,3,0.02468421052631575,0.2953
4,centroid_cosine,4,0.01966578947368415,0.3323
5,centroid_cosine,5,0.011805263157894824,0.3811
6,centroid_cosine,6,0.014760526315789427,0.3482
7,centroid_cosine,7,0.02923157894736844,0.2614
8,centroid_cosine,8,0.0010157894736841947,0.4641
9,centroid_cosine,9,0.06309210526315784,0.1071
10,centroid_cosine,10,0.04492105263157903,0.1708
11,centroid_cosine,11,0.0666157894736841,0.0912
12,centroid_cosine,12,0.07636315789473687,0.0755
13,centroid_cosine,13,0.09414210526315793,0.0423
14,centroid_cosine,14,0.12131052631578938,0.0171
15,centroid_cosine,15,0.16086842105263144,0.0028
16,centroid_cosine,16,0.1189868421052631,0.0162
17,centroid_cosine,17,0.1576842105263158,0.0045
18,centroid_cosine,18,0.11826842105263156,0.0176
19,centroid_cosine,19,0.09049210526315797,0.0441
20,centroid_cosine,20,0.1399605263157895,0.0067
21,centroid_cosine,21,0.200257894736842,0.0009
22,centroid_cosine,22,0.19122631578947363,0.0006
23,centroid_cosine,23,0.15427368421052623,0.0058
24,centroid_cosine,24,0.14327368421052633,0.0086
25,centroid_cosine,25,0.11948947368421042,0.0162
26,centroid_cosine,26,0.12618421052631584,0.0136
27,centroid_cosine,27,0.1322710526315788,0.0105
28,centroid_cosine,28,0.13486578947368424,0.0106
29,centroid_cosine,29,0.13281315789473697,0.0099
30,centroid_cosine,30,0.19165526315789477,0.0009
31,centroid_cosine,31,0.18494473684210538,0.0003
32,centroid_cosine,32,0.22040263157894746,0.0001
33,centroid_cosine,33,0.19969736842105276,0.0004
34,centroid_cosine,34,0.22218157894736845,0.0001
35,centroid_cosine,35,0.2319526315789474,0.0002
36,centroid_cosine,36,0.206121052631579,0.0005
37,centroid_cosine,37,0.2001815789473685,0.0005
38,centroid_cosine,38,0.21575789473684204,0.0004
39,centroid_cosine,39,0.19183421052631577,0.0006
40,centroid_cosine,40,0.22746842105263157,0.0002
41,centroid_cosine,41,0.21283684210526313,0.0004
42,centroid_cosine,42,0.20307368421052643,0.0004
43,centroid_cosine,43,0.22549736842105256,0.0002
44,centroid_cosine,44,0.21719473684210527,0.0001
45,centroid_cosine,45,0.1902552631578947,0.0005
46,centroid_cosine,46,0.21147631578947373,0.0002
47,centroid_cosine,47,0.20570789473684217,0.0003
48,centroid_cosine,48,0.1984578947368421,0.0006
49,centroid_cosine,49,0.18843947368421052,0.0006
50,centroid_cosine,50,0.18748157894736842,0.001
51,centroid_cosine,51,0.187771052631579,0.0006
52,centroid_cosine,52,0.18941315789473692,0.0004
53,centroid_cosine,53,0.18576578947368427,0.0006
54,centroid_cosine,54,0.1792763157894737,0.0015
55,centroid_cosine,55,0.18478684210526328,0.0004
56,centroid_cosine,56,0.21022631578947373,0.0001
57,centroid_cosine,57,0.2088,0.0002
58,centroid_cosine,58,0.20565789473684215,0.0003
59,centroid_cosine,59,0.20616842105263156,0.0001
60,centroid_cosine,60,0.2090578947368422,0.0001
61,centroid_cosine,61,0.2252894736842106,0.0001
62,centroid_cosine,62,0.24125526315789478,0.0002
63,centroid_cosine_unit,0,0.053726315789473636,0.1514
64,centroid_cosine_unit,1,0.015842105263157946,0.3423
65,centroid_cosine_unit,2,0.021210526315789513,0.3221
66,centroid_cosine_unit,3,0.025902631578947323,0.2974
67,centroid_cosine_unit,4,0.021713157894736844,0.3028
68,centroid_cosine_unit,5,0.010184210526315783,0.3847
69,centroid_cosine_unit,6,0.015694736842105175,0.3468
70,centroid_cosine_unit,7,0.03261578947368435,0.2335
71,centroid_cosine_unit,8,0.0024894736842104655,0.4454
72,centroid_cosine_unit,9,0.06300000000000004,0.1059
73,centroid_cosine_unit,10,0.04034210526315791,0.1882
74,centroid_cosine_unit,11,0.0727500000000001,0.0725
75,centroid_cosine_unit,12,0.07533684210526315,0.0785
76,centroid_cosine_unit,13,0.09539473684210523,0.0425
77,centroid_cosine_unit,14,0.1268657894736842,0.0127
78,centroid_cosine_unit,15,0.17671578947368433,0.0007
79,centroid_cosine_unit,16,0.11840263157894733,0.0156
80,centroid_cosine_unit,17,0.15126315789473682,0.0062
81,centroid_cosine_unit,18,0.12487105263157901,0.0135
82,centroid_cosine_unit,19,0.09193157894736835,0.039
83,centroid_cosine_unit,20,0.1270131578947368,0.0122
84,centroid_cosine_unit,21,0.18541578947368412,0.0015
85,centroid_cosine_unit,22,0.16415263157894747,0.0026
86,centroid_cosine_unit,23,0.12909736842105268,0.0112
87,centroid_cosine_unit,24,0.07915789473684205,0.0689
88,centroid_cosine_unit,25,0.06355526315789468,0.1021
89,centroid_cosine_unit,26,0.10232894736842105,0.0333
90,centroid_cosine_unit,27,0.12381578947368414,0.0163
91,centroid_cosine_unit,28,0.13133684210526322,0.0101
92,centroid_cosine_unit,29,0.12871052631578953,0.0099
93,centroid_cosine_unit,30,0.18587631578947367,0.0014
94,centroid_cosine_unit,31,0.17886578947368434,0.001
95,centroid_cosine_unit,32,0.21189473684210533,0.0002
96,centroid_cosine_unit,33,0.1904552631578948,0.0009
97,centroid_cosine_unit,34,0.19159736842105268,0.0011
98,centroid_cosine_unit,35,0.19113157894736837,0.0013
99,centroid_cosine_unit,36,0.17657368421052633,0.0019
100,centroid_cosine_unit,37,0.16999210526315775,0.0026
101,centroid_cosine_unit,38,0.17535263157894745,0.003
102,centroid_cosine_unit,39,0.16981578947368423,0.0026
103,centroid_cosine_unit,40,0.20034473684210521,0.0007
104,centroid_cosine_unit,41,0.18913947368421047,0.0009
105,centroid_cosine_unit,42,0.1851447368421051,0.0008
106,centroid_cosine_unit,43,0.20578947368421044,0.0003
107,centroid_cosine_unit,44,0.195528947368421,0.0008
108,centroid_cosine_unit,45,0.16652368421052646,0.0025
109,centroid_cosine_unit,46,0.18384999999999987,0.0018
110,centroid_cosine_unit,47,0.17890789473684213,0.0014
111,centroid_cosine_unit,48,0.1706526315789474,0.0026
112,centroid_cosine_unit,49,0.16191578947368424,0.0032
113,centroid_cosine_unit,50,0.16459736842105255,0.0038
114,centroid_cosine_unit,51,0.1647973684210526,0.0027
115,centroid_cosine_unit,52,0.16547105263157907,0.0023
116,centroid_cosine_unit,53,0.15830000000000016,0.0036
117,centroid_cosine_unit,54,0.1520657894736843,0.0048
118,centroid_cosine_unit,55,0.14784999999999998,0.0058
119,centroid_cosine_unit,56,0.1683026315789473,0.0029
120,centroid_cosine_unit,57,0.16301842105263145,0.0028
121,centroid_cosine_unit,58,0.17759736842105275,0.0009
122,centroid_cosine_unit,59,0.1815894736842106,0.001
123,centroid_cosine_unit,60,0.18458947368421066,0.0003
124,centroid_cosine_unit,61,0.20189473684210532,0.0002
125,centroid_cosine_unit,62,0.22454210526315793,0.0001
126,centroid_euclidean,0,0.03801578947368416,0.2317
127,centroid_euclidean,1,0.005805263157894753,0.4105
128,centroid_euclidean,2,0.008252631578947437,0.4025
129,centroid_euclidean,3,0.013657894736842018,0.3758
130,centroid_euclidean,4,0.011315789473684145,0.3849
131,centroid_euclidean,5,0.010305263157894717,0.3775
132,centroid_euclidean,6,0.011789473684210523,0.3688
133,centroid_euclidean,7,0.021699999999999837,0.2978
134,centroid_euclidean,8,-0.0031894736842105866,0.4932
135,centroid_euclidean,9,0.06311052631578944,0.1078
136,centroid_euclidean,10,0.04136842105263164,0.1879
137,centroid_euclidean,11,0.030815789473684286,0.2351
138,centroid_euclidean,12,0.08201052631578949,0.065
139,centroid_euclidean,13,0.09415789473684205,0.0441
140,centroid_euclidean,14,0.11930526315789483,0.017
141,centroid_euclidean,15,0.10431578947368418,0.032
142,centroid_euclidean,16,0.04955263157894728,0.1474
143,centroid_euclidean,17,0.09513157894736847,0.0352
144,centroid_euclidean,18,0.1404894736842105,0.008
145,centroid_euclidean,19,0.09995263157894728,0.0256
146,centroid_euclidean,20,0.1527684210526317,0.0037
147,centroid_euclidean,21,0.23268421052631577,0.0001
148,centroid_euclidean,22,0.15756315789473685,0.004
149,centroid_euclidean,23,0.1064684210526315,0.0257
150,centroid_euclidean,24,0.06823684210526314,0.087
151,centroid_euclidean,25,0.06631052631578938,0.0895
152,centroid_euclidean,26,0.09124736842105252,0.0301
153,centroid_euclidean,27,0.09416315789473682,0.0281
154,centroid_euclidean,28,0.08698421052631584,0.039
155,centroid_euclidean,29,0.07615789473684202,0.0563
156,centroid_euclidean,30,0.03921052631578955,0.1702
157,centroid_euclidean,31,0.06904210526315789,0.0695
158,centroid_euclidean,32,0.08913684210526317,0.0354
159,centroid_euclidean,33,0.09244210526315792,0.0305
160,centroid_euclidean,34,0.08906842105263155,0.0351
161,centroid_euclidean,35,0.08745789473684204,0.0355
162,centroid_euclidean,36,0.0700552631578946,0.0615
163,centroid_euclidean,37,0.09466842105263162,0.0286
164,centroid_euclidean,38,0.11362631578947377,0.0117
165,centroid_euclidean,39,0.08716315789473686,0.0323
166,centroid_euclidean,40,0.10278157894736835,0.0186
167,centroid_euclidean,41,0.11892105263157896,0.0119
168,centroid_euclidean,42,0.1109947368421053,0.0172
169,centroid_euclidean,43,0.11924210526315797,0.0091
170,centroid_euclidean,44,0.10768947368421056,0.0178
171,centroid_euclidean,45,0.07837894736842113,0.0534
172,centroid_euclidean,46,0.08678947368421053,0.038
173,centroid_euclidean,47,0.08730526315789468,0.038
174,centroid_euclidean,48,0.07754736842105273,0.0506
175,centroid_euclidean,49,0.06810000000000008,0.0681
176,centroid_euclidean,50,0.08206315789473681,0.0459
177,centroid_euclidean,51,0.08176842105263145,0.0431
178,centroid_euclidean,52,0.07996842105263158,0.0454
179,centroid_euclidean,53,0.07966842105263162,0.0461
180,centroid_euclidean,54,0.08354210526315785,0.0423
181,centroid_euclidean,55,0.09393684210526308,0.0266
182,centroid_euclidean,56,0.13042105263157905,0.0066
183,centroid_euclidean,57,0.147642105263158,0.0035
184,centroid_euclidean,58,0.1543315789473683,0.0028
185,centroid_euclidean,59,0.1706368421052631,0.0012
186,centroid_euclidean,60,0.15963157894736843,0.0027
187,centroid_euclidean,61,0.1622631578947369,0.0015
188,centroid_euclidean,62,0.1396736842105264,0.0035
189,centroid_euclidean_unit,0,0.037989473684210504,0.2372
190,centroid_euclidean_unit,1,0.01592105263157892,0.3358
191,centroid_euclidean_unit,2,0.021957894736842183,0.3179
