,dist_type,layer,pseudo-F,p-value
0,centroid_cosine,0,2.996978363771261,0.0002
1,centroid_cosine,1,2.966117401144654,0.0177
2,centroid_cosine,2,2.0852335325894864,0.023
3,centroid_cosine,3,2.163874067747543,0.0244
4,centroid_cosine,4,2.0881485593094533,0.0311
5,centroid_cosine,5,1.9892889985549356,0.0847
6,centroid_cosine,6,2.263632080976896,0.0495
7,centroid_cosine,7,2.609025769171926,0.0208
8,centroid_cosine,8,2.0730806847484655,0.0748
9,centroid_cosine,9,3.4472381131920797,0.0021
10,centroid_cosine,10,2.5948658635122026,0.0159
11,centroid_cosine,11,3.2795697681641984,0.0015
12,centroid_cosine,12,3.4570945431414892,0.002
13,centroid_cosine,13,3.9175559658136914,0.0002
14,centroid_cosine,14,4.59626322097039,0.0001
15,centroid_cosine,15,5.152192437777158,0.0001
16,centroid_cosine,16,3.9628232344562884,0.0023
17,centroid_cosine,17,3.1895150649887305,0.0415
18,centroid_cosine,18,2.103136579007862,0.1275
19,centroid_cosine,19,3.0836375713449535,0.039
20,centroid_cosine,20,3.3186827303441233,0.0351
21,centroid_cosine,21,4.0087949648593995,0.0393
22,centroid_cosine,22,3.7404817439247604,0.0214
23,centroid_cosine,23,3.520113620575991,0.0338
24,centroid_cosine,24,3.989964503076583,0.0095
25,centroid_cosine,25,3.934541335694465,0.0094
26,centroid_cosine,26,3.480474487063776,0.0105
27,centroid_cosine,27,3.1771787265664884,0.0379
28,centroid_cosine,28,4.083171164869345,0.0023
29,centroid_cosine,29,3.7100032269649996,0.0069
30,centroid_cosine,30,5.376787235375151,0.0002
31,centroid_cosine,31,5.285789972909389,0.0002
32,centroid_cosine,32,6.294540964030655,0.0001
33,centroid_cosine,33,6.324788252025024,0.0001
34,centroid_cosine,34,6.755252650753104,0.0001
35,centroid_cosine,35,7.115296308109477,0.0001
36,centroid_cosine,36,6.353549499600142,0.0001
37,centroid_cosine,37,6.3882421685303115,0.0001
38,centroid_cosine,38,7.076026756571559,0.0001
39,centroid_cosine,39,6.457341996203945,0.0001
40,centroid_cosine,40,7.097489932678908,0.0001
41,centroid_cosine,41,6.924049981527743,0.0001
42,centroid_cosine,42,6.592730249937705,0.0001
43,centroid_cosine,43,7.064018138223339,0.0001
44,centroid_cosine,44,6.796294803735256,0.0001
45,centroid_cosine,45,6.33060607882339,0.0001
46,centroid_cosine,46,6.765160829753288,0.0001
47,centroid_cosine,47,6.776701708164461,0.0001
48,centroid_cosine,48,6.709971322181784,0.0001
49,centroid_cosine,49,6.430658041870907,0.0001
50,centroid_cosine,50,6.391185258228638,0.0001
51,centroid_cosine,51,6.383991782589756,0.0001
52,centroid_cosine,52,6.393334664304797,0.0001
53,centroid_cosine,53,6.384242271201843,0.0001
54,centroid_cosine,54,6.243623097755257,0.0001
55,centroid_cosine,55,6.447031739110262,0.0001
56,centroid_cosine,56,6.8624929090934605,0.0001
57,centroid_cosine,57,6.798099222588855,0.0001
58,centroid_cosine,58,6.7321741668179795,0.0001
59,centroid_cosine,59,6.670895683272841,0.0001
60,centroid_cosine,60,6.727670373032581,0.0001
61,centroid_cosine,61,6.924461849143999,0.0001
62,centroid_cosine,62,7.057461425996671,0.0001
63,centroid_cosine_unit,0,2.996806698725558,0.0001
64,centroid_cosine_unit,1,3.074672356735628,0.0057
65,centroid_cosine_unit,2,2.211702039651905,0.0162
66,centroid_cosine_unit,3,2.270928568868685,0.0139
67,centroid_cosine_unit,4,2.1899497415584346,0.0254
68,centroid_cosine_unit,5,2.025285054561765,0.0738
69,centroid_cosine_unit,6,2.2833744232221416,0.043
70,centroid_cosine_unit,7,2.6483130581603955,0.0173
71,centroid_cosine_unit,8,2.1219183828378108,0.0639
72,centroid_cosine_unit,9,3.4372657146136216,0.0034
73,centroid_cosine_unit,10,2.5835201673733184,0.0131
74,centroid_cosine_unit,11,3.3260949172960057,0.002
75,centroid_cosine_unit,12,3.5269348027088987,0.0012
76,centroid_cosine_unit,13,3.9779233921326207,0.0002
77,centroid_cosine_unit,14,4.677057168512986,0.0001
78,centroid_cosine_unit,15,5.555015377609631,0.0001
79,centroid_cosine_unit,16,4.23355252315219,0.0003
80,centroid_cosine_unit,17,3.3343725038258776,0.0344
81,centroid_cosine_unit,18,1.6364050962958792,0.2267
82,centroid_cosine_unit,19,2.407690634596127,0.1059
83,centroid_cosine_unit,20,2.557648913773254,0.1043
84,centroid_cosine_unit,21,2.9196051825339118,0.1049
85,centroid_cosine_unit,22,2.78968788361094,0.0874
86,centroid_cosine_unit,23,2.8476040259045976,0.0899
87,centroid_cosine_unit,24,1.311597181250661,0.3159
88,centroid_cosine_unit,25,1.1388363740101834,0.3686
89,centroid_cosine_unit,26,2.5517910694781247,0.0739
90,centroid_cosine_unit,27,3.1722979490630454,0.0455
91,centroid_cosine_unit,28,3.879341178998466,0.0048
92,centroid_cosine_unit,29,3.476031768218425,0.0115
93,centroid_cosine_unit,30,4.971210513178079,0.0004
94,centroid_cosine_unit,31,4.98313799982551,0.0003
95,centroid_cosine_unit,32,5.877479078263112,0.0001
96,centroid_cosine_unit,33,5.810332841367141,0.0001
97,centroid_cosine_unit,34,5.277846023022621,0.0004
98,centroid_cosine_unit,35,5.042989110149545,0.001
99,centroid_cosine_unit,36,4.591916760821882,0.004
100,centroid_cosine_unit,37,4.826776607367775,0.0009
101,centroid_cosine_unit,38,5.782521976150092,0.0002
102,centroid_cosine_unit,39,5.5998132483682435,0.0002
103,centroid_cosine_unit,40,6.368615890452278,0.0001
104,centroid_cosine_unit,41,6.175795471550695,0.0001
105,centroid_cosine_unit,42,6.085396190277433,0.0001
106,centroid_cosine_unit,43,6.6245556767169775,0.0001
107,centroid_cosine_unit,44,6.287171306811064,0.0001
108,centroid_cosine_unit,45,5.562542667579545,0.0001
