,dist_type,layer,F-value,p-value
0,centroid_cosine,0,6.842020213627259,0.0058
1,centroid_cosine,1,8.862038138479031,0.0025
2,centroid_cosine,2,6.9560927572863775,0.0045
3,centroid_cosine,3,6.754660886367935,0.0038
4,centroid_cosine,4,6.203457991394652,0.0067
5,centroid_cosine,5,2.370669748429486,0.1567
6,centroid_cosine,6,2.7191579185695933,0.126
7,centroid_cosine,7,2.826373511711132,0.1161
8,centroid_cosine,8,2.9126872362623137,0.1138
9,centroid_cosine,9,1.923289460964179,0.2368
10,centroid_cosine,10,2.1915695521448075,0.1819
11,centroid_cosine,11,3.7895006009935353,0.0632
12,centroid_cosine,12,2.7055451799237633,0.1561
13,centroid_cosine,13,3.302700325563141,0.0989
14,centroid_cosine,14,4.1324700474599965,0.0531
15,centroid_cosine,15,1.8153678575212273,0.2597
16,centroid_cosine,16,0.9721632928124887,0.5153
17,centroid_cosine,17,0.6346852733077465,0.6554
18,centroid_cosine,18,1.0911306154782094,0.4791
19,centroid_cosine,19,1.1569344432080089,0.3871
20,centroid_cosine,20,1.017725167194528,0.483
21,centroid_cosine,21,1.0902699804414544,0.4418
22,centroid_cosine,22,0.9235806546559782,0.5205
23,centroid_cosine,23,0.8472259234429065,0.5603
24,centroid_cosine,24,1.4702307825942842,0.3986
25,centroid_cosine,25,0.8191741026982212,0.5587
26,centroid_cosine,26,1.0971939178190786,0.4665
27,centroid_cosine,27,1.1521862067301643,0.4849
28,centroid_cosine,28,1.9552971074938816,0.3114
29,centroid_cosine,29,1.694600416113493,0.3695
30,centroid_cosine,30,1.9934269944871068,0.264
31,centroid_cosine,31,2.693721173724746,0.1353
32,centroid_cosine,32,3.940188185247469,0.0489
33,centroid_cosine,33,5.848860323200234,0.0179
34,centroid_cosine,34,5.177818628906295,0.029
35,centroid_cosine,35,4.6361153781422875,0.0343
36,centroid_cosine,36,3.664191035829118,0.0686
37,centroid_cosine,37,4.280486809190904,0.047
38,centroid_cosine,38,7.683605105346275,0.0031
39,centroid_cosine,39,5.729834025394647,0.0157
40,centroid_cosine,40,5.113779684205833,0.0217
41,centroid_cosine,41,5.938048115792168,0.0134
42,centroid_cosine,42,5.81846513492251,0.0181
43,centroid_cosine,43,5.701309116607209,0.0156
44,centroid_cosine,44,5.894427369561733,0.0137
45,centroid_cosine,45,6.874408482886034,0.0079
46,centroid_cosine,46,5.7569215650120755,0.0172
47,centroid_cosine,47,4.7921761991345075,0.0308
48,centroid_cosine,48,5.065513711618113,0.0249
49,centroid_cosine,49,5.126340458600753,0.0242
50,centroid_cosine,50,5.115921155585022,0.025
51,centroid_cosine,51,4.899061083926294,0.0247
52,centroid_cosine,52,4.635211036664998,0.0333
53,centroid_cosine,53,5.0462178811257665,0.0258
54,centroid_cosine,54,5.739181119060325,0.0157
55,centroid_cosine,55,8.072720093557326,0.0043
56,centroid_cosine,56,7.355932030285978,0.005
57,centroid_cosine,57,7.904734896825938,0.0042
58,centroid_cosine,58,6.979588314550647,0.0081
59,centroid_cosine,59,6.454697640035907,0.0118
60,centroid_cosine,60,6.534404706130744,0.0098
61,centroid_cosine,61,6.605239884375861,0.0117
62,centroid_cosine,62,6.766177251905693,0.0083
63,centroid_cosine_unit,0,6.842481115752709,0.0055
64,centroid_cosine_unit,1,8.859476958152511,0.003
65,centroid_cosine_unit,2,5.5823036971624225,0.0137
66,centroid_cosine_unit,3,5.445604679431156,0.012
67,centroid_cosine_unit,4,5.199349577772574,0.0149
68,centroid_cosine_unit,5,2.509634839731669,0.1547
69,centroid_cosine_unit,6,2.753170613500583,0.1175
70,centroid_cosine_unit,7,2.759407921769763,0.1254
71,centroid_cosine_unit,8,2.939237429179029,0.1154
72,centroid_cosine_unit,9,1.7518421146202439,0.2638
73,centroid_cosine_unit,10,2.467587482513459,0.1468
74,centroid_cosine_unit,11,3.5098162776627904,0.0698
75,centroid_cosine_unit,12,2.998920263012201,0.1224
76,centroid_cosine_unit,13,3.4548176596839135,0.0882
77,centroid_cosine_unit,14,4.097727954352407,0.0559
78,centroid_cosine_unit,15,1.373056272924139,0.3412
79,centroid_cosine_unit,16,1.1975766994341597,0.414
80,centroid_cosine_unit,17,0.2683998320822241,0.8229
81,centroid_cosine_unit,18,1.1040947467648445,0.475
82,centroid_cosine_unit,19,0.8529871857952163,0.5217
83,centroid_cosine_unit,20,0.7491876265384834,0.6028
84,centroid_cosine_unit,21,1.1001199003737938,0.4378
85,centroid_cosine_unit,22,0.8735648301521451,0.544
86,centroid_cosine_unit,23,0.6733142085780536,0.639
87,centroid_cosine_unit,24,0.9784456325646117,0.5654
88,centroid_cosine_unit,25,0.8049327398192042,0.6304
89,centroid_cosine_unit,26,0.852756861138035,0.5897
90,centroid_cosine_unit,27,1.0707430175627535,0.5085
91,centroid_cosine_unit,28,1.776149520062196,0.3453
92,centroid_cosine_unit,29,1.6132274364197534,0.387
93,centroid_cosine_unit,30,1.642092298447383,0.3594
94,centroid_cosine_unit,31,2.431780012648667,0.1839
95,centroid_cosine_unit,32,3.460427644948311,0.0888
96,centroid_cosine_unit,33,4.952844669820052,0.0433
97,centroid_cosine_unit,34,2.8255415199942036,0.1793
98,centroid_cosine_unit,35,2.1260966747658996,0.2932
99,centroid_cosine_unit,36,1.893179815548443,0.3248
100,centroid_cosine_unit,37,2.421710447803967,0.2519
101,centroid_cosine_unit,38,4.395167792700205,0.0699
102,centroid_cosine_unit,39,3.953615429477359,0.0775
103,centroid_cosine_unit,40,3.763742419193427,0.0832
104,centroid_cosine_unit,41,4.339132575257354,0.0654
105,centroid_cosine_unit,42,4.629191512879168,0.0528
106,centroid_cosine_unit,43,4.638257814957881,0.0447
107,centroid_cosine_unit,44,4.68338827749926,0.0473
108,centroid_cosine_unit,45,4.691722986346156,0.0493
109,centroid_cosine_unit,46,4.031691379991161,0.08
110,centroid_cosine_unit,47,3.458134942155486,0.1214
111,centroid_cosine_unit,48,3.5291704176017995,0.116
112,centroid_cosine_unit,49,3.4436437337327224,0.1223
113,centroid_cosine_unit,50,3.651305542247653,0.1036
114,centroid_cosine_unit,51,3.4368817051695264,0.122
115,centroid_cosine_unit,52,3.154530819775218,0.144
116,centroid_cosine_unit,53,3.371809056913417,0.1227
117,centroid_cosine_unit,54,3.591428961196616,0.1119
118,centroid_cosine_unit,55,5.325242688518804,0.0386
119,centroid_cosine_unit,56,5.577469092013798,0.027
120,centroid_cosine_unit,57,5.870174426704819,0.0235
121,centroid_cosine_unit,58,5.774075283515184,0.0209
122,centroid_cosine_unit,59,5.53718307888216,0.0244
123,centroid_cosine_unit,60,6.193787251398121,0.0166
124,centroid_cosine_unit,61,6.468032967391793,0.0142
125,centroid_cosine_unit,62,6.8861988812742325,0.0101
126,centroid_euclidean,0,5.171532962831147,0.021
127,centroid_euclidean,1,8.506001255235255,0.009
128,centroid_euclidean,2,6.5400170069647565,0.0143
129,centroid_euclidean,3,6.347838129259255,0.0126
130,centroid_euclidean,4,6.049165434166083,0.0171
131,centroid_euclidean,5,2.842609580610102,0.1496
132,centroid_euclidean,6,3.3967807252915856,0.0999
133,centroid_euclidean,7,3.717192951873357,0.0774
134,centroid_euclidean,8,3.9550744633862607,0.0678
135,centroid_euclidean,9,3.5255941097630483,0.0872
136,centroid_euclidean,10,2.9430303326949687,0.1267
137,centroid_euclidean,11,5.790803410033103,0.0244
138,centroid_euclidean,12,4.141921874463342,0.0515
139,centroid_euclidean,13,4.145786017275938,0.0589
140,centroid_euclidean,14,5.543174528917922,0.025
141,centroid_euclidean,15,1.5732442424814417,0.3506
142,centroid_euclidean,16,1.3052840553676697,0.4217
143,centroid_euclidean,17,0.09505463473983168,0.9429
144,centroid_euclidean,18,0.18266358016354106,0.8863
145,centroid_euclidean,19,0.4386132185926519,0.7139
146,centroid_euclidean,20,0.28691944852076895,0.8077
147,centroid_euclidean,21,1.2365727035605614,0.4313
148,centroid_euclidean,22,1.0463127309747395,0.4685
149,centroid_euclidean,23,1.4254036810736423,0.386
150,centroid_euclidean,24,0.5753334790421423,0.6758
151,centroid_euclidean,25,0.3844090310309257,0.7374
152,centroid_euclidean,26,0.941777785774027,0.4413
153,centroid_euclidean,27,4.355586167769719,0.0377
154,centroid_euclidean,28,0.7360546666429516,0.5353
155,centroid_euclidean,29,1.8191527361958115,0.2039
156,centroid_euclidean,30,0.7365133109279886,0.5353
157,centroid_euclidean,31,1.1746241729829212,0.3803
158,centroid_euclidean,32,1.3859606901314303,0.2999
159,centroid_euclidean,33,2.454452999366518,0.1143
160,centroid_euclidean,34,2.1451914542723984,0.1581
161,centroid_euclidean,35,2.459327947448735,0.1139
162,centroid_euclidean,36,2.0749121237307757,0.173
163,centroid_euclidean,37,2.9177963552790094,0.0779
164,centroid_euclidean,38,3.6959467279900378,0.0424
165,centroid_euclidean,39,2.30229329864554,0.143
166,centroid_euclidean,40,1.7334671883194614,0.2478
167,centroid_euclidean,41,2.700949443415317,0.1011
168,centroid_euclidean,42,2.9834469037313833,0.0812
169,centroid_euclidean,43,3.1558564935459534,0.0719
170,centroid_euclidean,44,2.983927874664984,0.0855
171,centroid_euclidean,45,3.3817447376107626,0.0566
172,centroid_euclidean,46,3.2896499544066238,0.0671
173,centroid_euclidean,47,2.1433373971209413,0.1631
174,centroid_euclidean,48,1.9299085953334902,0.1887
175,centroid_euclidean,49,1.3256911943105922,0.3076
176,centroid_euclidean,50,1.5782966220911852,0.2615
177,centroid_euclidean,51,1.461622249355002,0.2884
178,centroid_euclidean,52,1.319703209924063,0.3297
179,centroid_euclidean,53,2.089032446847511,0.1859
180,centroid_euclidean,54,2.0444000659179484,0.2063
181,centroid_euclidean,55,2.755039872963678,0.1279
182,centroid_euclidean,56,3.636496998604512,0.0764
183,centroid_euclidean,57,4.0839522833046,0.0621
184,centroid_euclidean,58,4.814656344424369,0.0379
185,centroid_euclidean,59,4.359875709645456,0.0461
186,centroid_euclidean,60,4.539647934920468,0.0361
187,centroid_euclidean,61,5.067882363905248,0.0263
188,centroid_euclidean,62,5.879849703266188,0.0139
189,centroid_euclidean_unit,0,5.170546505927115,0.0201
190,centroid_euclidean_unit,1,7.430351733222991,0.0148
191,centroid_euclidean_unit,2,5.2882297835000305,0.0254
192,centroid_euclidean_unit,3,5.318544189200635,0.0223
193,centroid_euclidean_unit,4,5.4898812474232495,0.0221
194,centroid_euclidean_unit,5,3.1170470085208737,0.1163
195,centroid_euclidean_unit,6,3.5900721462177163,0.0856
196,centroid_euclidean_unit,7,3.587466800565186,0.0855
197,centroid_euclidean_unit,8,3.6460921773533315,0.0891
198,centroid_euclidean_unit,9,2.549729691005704,0.1748
199,centroid_euclidean_unit,10,3.3523011481424794,0.0983
200,centroid_euclidean_unit,11,4.168217737764232,0.0624
201,centroid_euclidean_unit,12,3.950766376342148,0.0792
202,centroid_euclidean_unit,13,4.07559359978989,0.0692
203,centroid_euclidean_unit,14,5.039145369968616,0.0359
204,centroid_euclidean_unit,15,2.4448863384802135,0.1749
205,centroid_euclidean_unit,16,2.551377637713769,0.1769
206,centroid_euclidean_unit,17,0.2723722881048863,0.8329
207,centroid_euclidean_unit,18,0.9275851025703452,0.5687
208,centroid_euclidean_unit,19,1.370891743869604,0.3976
209,centroid_euclidean_unit,20,1.2542590681383172,0.4463
210,centroid_euclidean_unit,21,1.7375826800198082,0.3189
211,centroid_euclidean_unit,22,1.2083683308333177,0.4712
212,centroid_euclidean_unit,23,0.9614569593332153,0.5433
213,centroid_euclidean_unit,24,0.8359536819885414,0.6472
